q23overalldevelopment,q23spendingtimetogether,q23funlearning,q23invigorating,q23forgetroutines,q23spendingmoney,q23bonding,q23qualitytime,q23changeroutine,q23Recharge
3,4,4,5,5,3,4,4,5,5
4,5,5,5,5,5,5,5,5,5
4,5,5,5,5,4,4,4,4,5
4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5
3,5,4,5,5,4,5,5,5,5
5,5,4,4,5,5,5,5,5,5
5,5,5,5,5,4,5,5,5,5
5,5,5,4,4,4,4,5,5,5
4,5,5,5,5,4,5,5,5,5
4,4,4,4,4,2,4,4,4,4
4,5,5,5,5,4,5,5,5,5
3,5,3,5,5,5,5,4,4,5
4,4,2,4,5,3,4,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,4,4,3,5,3,4,4
5,5,5,5,5,2,5,5,5,5
4,5,5,5,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,5
2,5,3,5,5,5,5,4,5,5
3,5,3,5,5,4,3,5,5,5
4,5,4,5,5,4,5,5,5,5
3,5,3,4,5,4,4,5,5,5
4,4,3,5,5,4,3,4,5,5
4,5,5,5,5,3,5,5,4,4
5,5,5,5,5,4,5,5,5,5
4,5,4,4,4,4,5,4,4,4
4,5,4,5,4,3,5,4,4,5
5,4,5,5,4,4,4,5,4,5
3,3,4,3,5,4,3,4,3,3
5,5,5,5,5,3,5,5,5,5
5,5,5,5,4,4,5,5,5,5
4,4,4,4,4,4,4,4,4,4
5,5,4,3,3,4,4,5,2,5
5,5,4,5,5,4,5,5,5,5
4,5,3,5,4,3,5,5,5,5
5,4,4,4,4,4,5,5,4,5
5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,4,5,4,5,5
4,4,4,4,4,4,4,4,4,4
3,5,4,5,5,2,5,5,4,5
4,4,4,4,4,4,4,4,4,4
4,4,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
3,5,5,5,4,3,5,5,5,4
4,5,4,5,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,5
4,4,4,5,4,4,4,5,5,5
5,5,5,5,4,5,5,4,5,5
4,4,4,4,4,4,4,4,4,4
3,4,4,5,5,2,4,5,5,5
5,4,3,5,5,4,5,5,4,5
4,5,5,5,4,3,5,5,5,5
3,4,3,4,4,3,4,4,4,5
4,5,4,5,5,3,5,5,4,5
2,5,3,5,5,4,3,5,5,5
5,5,5,5,5,4,5,4,5,4
5,5,5,5,5,5,5,5,5,5
5,4,5,4,5,5,4,3,4,3
5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,2,5,5,5,5
4,4,4,4,4,4,4,4,5,4
5,5,5,5,5,5,5,5,5,5
3,5,3,5,5,4,5,4,5,5
2,5,4,5,5,4,5,5,4,5
4,4,3,4,4,4,4,4,5,4
5,5,5,5,5,5,5,5,5,5
4,4,4,3,3,3,4,4,4,3
4,5,5,5,5,4,5,5,5,5
5,5,5,5,5,5,5,4,5,5
4,5,4,4,5,5,4,2,5,5
2,5,5,5,3,4,5,5,5,5
4,5,4,5,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,5
4,5,4,4,5,2,4,5,4,4
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,3,3,3,3
4,4,5,5,5,3,5,5,5,5
5,5,5,5,5,2,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,5,5,5,5
4,5,5,5,5,3,5,3,5,5
3,5,3,5,2,5,5,4,5,4
5,5,5,5,5,3,2,3,3,3
5,5,4,3,5,3,2,4,5,4
4,5,5,5,5,3,5,5,5,5
2,4,2,4,4,4,5,4,4,4
5,5,5,5,5,5,5,5,3,3
4,4,5,5,5,2,5,4,4,5
4,5,5,5,5,4,5,5,5,5
4,4,4,5,5,3,5,5,5,5
4,5,4,4,5,5,3,5,5,5
4,5,4,5,5,4,5,5,5,5
5,4,5,4,5,4,5,4,5,4
2,5,5,5,5,3,5,5,5,5
5,5,5,5,5,5,5,4,4,4
4,5,5,5,3,3,4,5,5,5
5,5,5,5,5,5,5,5,5,5
4,5,4,5,5,3,5,4,4,5
4,5,4,5,5,2,5,5,5,5
4,5,5,5,5,4,5,5,5,5
5,5,5,5,3,4,5,3,5,3
5,5,5,5,5,3,5,5,5,5
4,5,4,4,4,4,4,4,4,4
4,5,4,4,5,3,5,5,5,5
4,4,4,4,4,4,4,4,5,5
3,4,3,5,5,3,5,4,5,4
3,4,3,3,4,3,5,5,4,5
3,5,5,5,3,5,5,3,3,3
1,4,1,4,1,1,5,5,3,4
4,5,5,5,5,4,5,5,5,5
4,5,4,3,3,3,3,3,3,2
1,5,1,1,5,5,5,5,5,5
4,4,5,5,5,5,5,5,5,5
3,5,3,3,3,5,5,5,3,4
5,5,4,5,5,3,5,5,5,5
5,5,5,5,5,5,5,5,5,5
4,4,4,4,5,4,5,4,4,4
4,5,4,5,4,3,5,5,5,5
3,5,4,5,5,2,5,5,5,5
2,5,4,5,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,5
3,5,3,5,5,3,4,4,4,4
3,5,5,5,5,3,4,4,5,5
5,5,5,5,5,5,5,5,5,5
3,5,4,4,4,4,4,4,4,4
3,5,5,5,5,4,3,5,5,4
3,5,5,5,5,4,5,5,5,5
4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5
4,5,4,5,5,4,5,5,5,5
5,5,5,5,5,3,5,5,5,4
5,5,5,5,5,3,5,5,3,4
3,4,4,4,4,3,5,4,4,4
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,4,4,4,3,4,4,5,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,5,2,4,4,5,5
5,5,5,5,5,2,4,4,4,4
4,4,4,5,5,3,4,4,5,5
4,5,5,5,5,4,5,5,5,5
4,4,4,4,4,5,5,5,5,5
4,5,4,5,5,4,5,5,5,5
4,4,4,4,4,3,4,4,4,4
3,5,2,4,5,4,5,5,5,5
5,5,5,5,5,4,4,4,4,4
3,5,4,5,5,3,5,5,5,5
5,5,5,5,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,4
4,5,4,5,5,3,5,4,5,5
4,5,5,5,5,3,5,5,5,5
5,4,3,2,1,2,3,4,3,2
5,2,3,4,3,4,3,4,3,4
4,5,5,5,5,3,5,5,5,5
4,5,5,5,5,5,5,5,5,5
2,4,3,5,4,2,4,4,4,4
4,4,5,5,4,3,5,4,4,5
2,5,5,5,5,5,5,5,5,5
3,5,4,4,4,3,4,4,5,5
5,5,5,5,5,5,5,5,5,5
3,5,5,5,5,4,5,5,5,5
2,5,3,4,5,4,5,5,5,5
5,5,5,5,4,4,4,4,4,4
4,5,4,5,4,5,5,5,4,5
4,5,4,5,5,2,5,5,5,5
4,5,5,5,5,4,5,5,5,4
5,5,5,5,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,5
3,5,5,5,5,4,5,5,5,5
4,5,4,5,5,4,4,4,5,5
4,5,5,5,4,2,5,5,4,4
2,4,4,4,4,3,5,5,5,5
3,3,3,3,3,3,3,3,3,3
3,5,5,5,5,4,5,5,5,5
3,4,4,5,5,4,5,4,5,5
5,5,5,5,5,5,5,5,5,5
3,4,3,5,5,3,4,5,5,4
4,5,4,5,5,4,5,5,5,5
1,5,4,5,5,4,5,5,5,5
4,5,5,5,5,4,5,4,5,5
5,5,5,5,4,4,5,4,4,5
3,4,3,4,4,3,4,4,4,4
5,5,5,5,5,4,4,4,4,4
4,5,5,5,5,4,5,5,5,5
4,5,4,5,5,3,4,5,4,5
1,5,3,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5
4,5,5,4,5,5,4,5,5,5
4,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5
4,5,5,5,5,3,5,5,5,5
4,5,5,5,5,4,4,4,5,4
5,5,5,5,5,5,5,5,5,5
1,5,5,5,5,3,5,5,5,5
4,5,5,5,5,4,5,5,5,5
4,3,4,4,3,5,4,3,4,5
5,5,5,5,5,5,5,5,5,5
3,4,4,3,4,4,3,4,4,4
5,4,3,4,3,3,3,4,4,5
4,5,5,5,5,3,5,4,5,4
4,5,3,5,4,4,4,4,5,3
5,5,5,5,5,3,5,5,5,5
3,5,3,4,4,1,4,4,3,4
5,5,4,4,4,3,3,4,4,4
4,5,4,5,5,3,4,4,5,5
4,5,4,5,4,2,4,4,4,5
3,4,4,4,4,3,4,4,4,4
4,5,5,5,5,4,5,5,5,5
5,5,5,5,5,4,5,5,5,5
4,5,5,5,4,4,5,4,5,4
1,4,3,4,4,4,4,4,4,4
4,5,5,5,5,4,5,4,5,5
5,5,5,5,4,4,5,4,5,4
5,4,4,3,2,4,5,3,2,2
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
4,5,4,5,5,3,5,4,5,5
4,5,5,5,5,5,5,5,5,5
3,3,2,5,5,5,2,2,5,5
4,4,3,5,4,4,4,4,4,4
4,4,3,5,5,4,4,4,5,5
5,5,5,5,5,3,4,5,5,5
4,5,3,5,5,4,4,4,5,4
4,5,3,5,5,5,5,5,5,5
4,5,5,5,5,1,5,5,5,5
5,5,5,5,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,5
4,5,2,5,5,2,5,5,5,5
4,5,4,5,5,3,5,5,4,5
5,5,5,5,5,2,5,5,5,5
4,5,4,4,5,4,5,5,5,5
4,5,4,4,5,3,3,3,5,4
4,4,2,4,4,4,4,4,4,4
3,4,4,4,4,4,5,5,4,4
4,5,4,4,5,4,4,3,4,4
5,5,5,5,5,3,5,5,5,5
5,5,5,5,5,4,5,5,5,4
5,4,5,5,4,4,5,4,4,5
3,5,4,5,5,3,4,5,5,5
5,5,5,5,5,3,4,4,5,4
4,4,4,4,4,4,4,4,4,4
4,5,5,5,5,4,5,5,5,5
5,5,4,5,5,3,5,5,5,5
4,5,4,4,4,4,4,4,4,4
5,5,5,5,4,4,4,5,5,4
4,5,4,4,4,3,5,5,4,4
5,5,4,4,4,4,4,5,5,5
4,4,4,4,4,4,4,4,4,3
5,5,5,5,5,1,5,5,5,5
4,4,4,4,5,4,5,5,5,5
3,4,3,5,5,3,3,5,5,5
4,5,3,4,4,3,4,4,5,4
4,4,4,4,5,3,4,5,5,5
5,5,5,5,5,2,4,5,5,5
4,4,5,5,5,4,5,3,4,4
4,5,5,5,5,4,5,5,5,5
5,4,5,4,5,3,5,3,5,5
5,5,5,5,5,5,5,5,5,5
2,5,2,4,4,2,5,4,4,5
5,5,5,5,5,4,5,5,5,5
1,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
2,5,5,4,5,4,4,3,4,4
5,5,4,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,5,5,5,5
5,4,5,5,5,4,5,4,5,4
4,5,5,5,4,3,4,5,5,5
4,5,4,5,5,3,5,5,5,5
5,5,4,5,4,4,5,5,5,5
3,5,3,5,5,3,5,5,5,5
4,5,5,5,5,3,5,4,5,4
3,5,3,4,3,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5
5,4,5,5,4,3,5,4,3,2
5,5,5,5,5,4,5,5,5,5
5,5,4,5,5,4,5,5,4,4
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,3,5,5,4,5
4,5,4,5,5,5,5,3,4,4
4,5,5,5,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,4,4,3,3,4,4,4,4
4,5,4,4,5,4,5,4,5,5
5,4,4,4,4,4,4,4,4,4
2,5,4,5,5,1,4,4,5,4
2,4,3,5,5,3,5,4,5,5
5,5,5,5,5,5,5,5,5,5
2,5,4,5,5,2,5,3,5,5
4,5,4,5,5,4,5,5,5,4
5,5,5,5,5,4,5,4,5,5
2,5,2,5,5,3,3,4,4,5
5,5,5,5,5,5,5,5,5,5
4,5,4,4,5,4,4,5,5,5
4,4,3,4,3,5,5,5,5,3
4,5,4,4,5,5,4,4,5,4
4,4,4,4,4,5,4,4,3,4
4,5,5,5,5,4,5,5,5,5
5,5,5,5,5,4,5,4,5,5
5,4,4,5,4,4,5,5,4,4
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,4,5,5,5,5
2,4,4,5,5,4,5,5,5,5
5,4,4,5,3,3,4,3,2,1
5,5,5,5,5,4,5,5,5,5
5,5,5,5,4,2,4,5,5,5
3,5,3,3,3,3,3,3,3,3
4,4,4,5,5,4,4,5,5,5
4,5,5,5,5,4,5,5,5,5
3,3,4,3,3,4,5,4,4,4
2,4,3,4,4,3,4,4,4,4
5,5,5,5,4,4,4,5,4,4
3,4,4,4,4,4,4,4,4,4
5,5,3,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4,4
5,5,5,5,5,2,5,4,4,5
4,5,5,5,5,4,5,5,5,5
5,5,5,5,5,4,5,5,5,5
3,5,4,5,5,4,5,5,5,5
5,5,5,5,5,4,5,5,5,5
5,4,4,4,5,4,4,5,4,4
5,5,5,5,5,5,5,5,5,5
4,5,4,5,5,4,5,4,5,5
5,4,5,4,3,2,4,3,5,3
5,5,4,5,5,1,4,4,5,5
2,5,4,5,5,4,4,3,4,4
4,4,4,5,5,4,5,5,5,5
4,4,4,5,5,4,5,5,5,5
3,4,4,4,4,3,5,3,4,4
2,5,3,5,5,2,5,5,5,5
4,4,4,4,4,4,4,5,5,4
3,4,3,5,5,4,3,3,4,3
5,4,4,4,3,4,4,3,4,4
4,5,5,5,5,4,5,4,5,5
5,5,5,5,5,5,5,5,5,5
3,5,4,4,5,3,5,4,4,4
4,5,5,5,5,4,5,5,5,5
4,5,4,5,4,3,4,5,5,5
5,5,5,5,5,4,5,4,4,4
4,4,4,5,4,4,4,5,4,4
4,5,5,5,5,3,5,5,5,5
3,5,5,5,5,5,5,5,5,5
4,5,4,5,4,5,4,5,4,4
4,5,5,5,5,2,5,3,3,4
4,4,4,4,3,5,3,4,5,4
4,5,5,5,5,4,5,5,5,5
4,5,4,5,5,4,4,4,5,5
1,5,4,5,5,2,5,4,5,4
4,5,5,5,5,4,5,5,5,5
3,3,4,5,5,3,4,5,5,5
4,4,4,5,5,5,4,4,5,4
4,4,4,3,3,3,5,5,5,4
4,5,4,5,5,4,4,5,5,4
1,5,2,5,5,3,4,5,5,5
5,5,5,5,5,3,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,4,5,5,5,5,5
5,4,4,3,2,2,3,2,3,4
5,4,5,5,5,4,5,5,5,5
5,5,5,4,4,4,5,5,5,5
5,5,5,5,5,3,5,5,5,5
5,5,5,5,5,5,5,5,5,5
3,5,3,5,5,4,5,5,5,4
4,4,5,5,5,5,5,5,5,5
5,5,5,5,5,1,5,5,5,5
4,5,4,5,5,3,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,1,5
2,4,2,5,3,3,4,4,4,4
4,4,3,4,4,3,4,4,3,3
5,5,4,5,5,4,5,5,5,5
4,5,4,5,5,4,5,5,5,5
5,4,4,4,4,3,4,4,5,5
4,5,5,4,4,4,5,5,5,5
3,4,5,5,5,4,5,5,5,5
4,5,4,5,5,5,5,5,5,5
