pres92,age,agecat,educ,degree,sex
3,79,4,12,1,1
3,32,1,17,3,1
3,50,3,6,0,2
3,56,3,8,0,2
3,51,3,17,3,2
3,48,3,12,1,1
3,29,1,13,1,2
3,40,2,13,1,2
3,46,3,13,1,2
3,37,2,19,4,2
3,43,2,16,4,2
3,45,3,16,3,2
3,53,3,16,3,2
3,34,1,15,1,1
3,32,1,19,4,1
3,53,3,12,1,1
1,27,1,17,3,1
3,42,2,16,3,2
3,27,1,16,3,2
3,40,2,20,4,2
3,74,4,3,0,1
2,41,2,15,2,1
1,26,1,16,3,1
3,49,3,14,2,2
1,49,3,17,4,2
3,37,2,16,3,2
3,55,3,18,4,2
3,26,1,16,3,2
3,25,1,12,1,1
1,47,3,20,4,2
3,53,3,16,3,1
1,42,2,13,1,1
3,73,4,6,0,2
3,80,4,12,1,2
3,42,2,15,3,2
3,44,2,10,0,2
3,43,2,18,4,2
3,28,1,15,1,1
3,42,2,12,1,1
3,26,1,13,1,2
3,29,1,16,3,2
3,29,1,12,1,2
2,32,1,12,1,2
1,34,1,16,3,2
3,59,3,16,1,1
1,38,2,16,3,2
1,37,2,16,3,1
3,34,1,20,4,1
1,23,1,16,3,2
3,38,2,16,3,2
1,80,4,15,1,1
1,43,2,13,1,1
3,86,4,11,1,2
3,25,1,16,3,1
3,29,1,13,1,2
3,38,2,15,1,1
3,24,1,13,1,2
3,62,3,20,4,1
3,38,2,14,2,2
3,89,4,16,3,2
3,71,4,14,1,2
3,60,3,14,0,1
3,49,3,14,1,2
3,24,1,13,1,2
3,37,2,12,1,2
2,32,1,14,2,1
3,23,1,13,1,1
1,45,3,10,1,2
2,36,2,12,1,1
3,41,2,12,1,2
1,49,3,20,4,1
1,33,1,13,1,1
3,46,3,14,1,2
3,31,1,14,2,2
3,47,3,14,1,2
3,55,3,10,0,2
2,30,1,13,1,2
3,33,1,16,4,2
3,29,1,12,1,1
3,33,1,14,1,1
3,37,2,14,2,2
3,50,3,18,4,2
3,78,4,12,1,1
3,40,2,13,1,2
3,66,4,20,4,1
3,45,3,11,0,2
3,46,3,18,4,2
1,79,4,11,0,1
2,44,2,16,3,1
3,53,3,19,4,2
1,43,2,12,1,1
3,40,2,14,1,1
3,68,4,15,1,2
3,32,1,14,1,2
1,37,2,20,4,1
3,35,2,16,3,1
1,31,1,16,3,2
3,47,3,20,4,2
3,68,4,16,3,1
1,47,3,16,3,1
3,53,3,12,1,2
3,39,2,19,3,2
3,63,3,12,1,2
1,43,2,16,3,1
1,75,4,16,3,1
3,74,4,12,1,1
3,25,1,15,1,2
3,62,3,14,2,2
3,47,3,16,3,1
3,48,3,14,1,2
3,38,2,12,1,1
1,31,1,13,1,1
2,65,4,12,1,2
1,68,4,14,1,2
2,62,3,18,4,1
3,51,3,12,1,2
1,60,3,16,3,1
1,37,2,12,1,1
3,39,2,17,3,2
1,62,3,12,1,1
2,43,2,13,1,2
3,31,1,13,1,2
1,53,3,18,4,2
3,37,2,16,3,2
3,43,2,16,3,2
3,39,2,15,1,2
3,48,3,16,3,2
2,59,3,13,1,1
3,79,4,20,4,1
3,45,3,18,4,2
3,45,3,16,3,2
3,41,2,14,0,1
3,40,2,16,3,1
1,51,3,18,3,1
3,53,3,16,3,1
3,40,2,17,3,1
3,41,2,14,1,2
3,59,3,18,4,2
3,43,2,17,3,2
3,30,1,14,2,1
3,41,2,19,4,1
3,51,3,17,0,1
2,40,2,15,1,2
3,75,4,7,0,2
3,56,3,14,0,2
3,36,2,12,1,2
3,64,3,10,0,2
2,31,1,13,1,1
2,32,1,14,2,2
1,36,2,13,1,2
1,42,2,14,2,2
2,49,3,16,3,2
1,37,2,14,1,1
3,61,3,16,3,2
1,75,4,13,1,2
3,40,2,20,4,1
1,52,3,14,2,1
3,54,3,16,3,2
3,81,4,12,1,2
1,60,3,12,1,2
2,41,2,18,3,2
2,49,3,12,1,2
2,30,1,14,1,1
3,61,3,16,3,1
3,76,4,9,0,2
3,52,3,12,1,2
1,51,3,16,3,2
1,28,1,11,0,2
2,35,2,12,1,1
3,43,2,14,1,1
2,35,2,13,1,1
3,52,3,16,3,1
3,37,2,14,1,1
1,33,1,13,1,2
3,47,3,17,3,2
3,82,4,8,0,2
3,63,3,6,0,1
1,72,4,8,0,2
1,30,1,14,1,1
3,36,2,13,1,2
1,70,4,14,2,2
3,75,4,8,0,2
3,83,4,12,1,1
3,53,3,10,0,2
3,22,1,13,1,2
3,33,1,12,1,2
1,24,1,16,3,2
3,28,1,11,0,2
2,48,3,16,3,1
1,88,4,13,1,2
2,36,2,13,2,1
3,55,3,20,4,2
3,29,1,16,3,2
1,62,3,12,1,1
3,84,4,12,1,2
1,80,4,10,0,2
1,46,3,12,1,1
1,72,4,12,1,2
1,25,1,16,3,2
1,41,2,12,1,2
3,32,1,14,1,1
3,35,2,12,1,1
3,43,2,16,2,1
2,32,1,15,2,1
3,38,2,17,3,1
3,26,1,12,1,2
3,32,1,12,1,2
3,68,4,9,0,2
3,73,4,10,0,2
3,31,1,14,1,1
3,57,3,16,4,1
3,34,1,12,1,2
3,24,1,14,1,2
3,55,3,7,0,2
3,28,1,15,1,2
1,69,4,10,0,2
1,24,1,11,0,2
1,44,2,12,1,2
2,45,3,12,1,1
3,56,3,15,2,2
3,50,3,16,1,1
2,54,3,12,1,2
1,32,1,16,3,1
3,25,1,17,4,2
3,26,1,12,1,2
3,49,3,16,3,1
3,32,1,19,4,1
3,33,1,18,4,2
3,31,1,16,3,2
3,32,1,16,3,2
1,56,3,13,1,1
1,27,1,16,3,2
1,72,4,12,1,1
2,39,2,12,1,2
2,35,2,17,3,1
3,70,4,12,1,1
1,32,1,17,3,2
3,23,1,14,1,1
2,83,4,12,1,2
3,34,1,13,1,1
3,87,4,12,1,1
3,50,3,12,1,1
1,61,3,12,1,1
3,68,4,12,1,1
1,50,3,16,3,1
3,39,2,16,3,2
3,41,2,14,1,1
3,43,2,14,1,2
3,65,4,10,0,2
3,36,2,14,2,2
3,54,3,12,1,2
3,46,3,9,1,1
3,68,4,11,0,2
3,35,2,16,3,2
3,66,4,9,1,2
3,29,1,16,3,1
3,31,1,13,2,2
3,49,3,12,0,2
1,43,2,16,3,2
1,54,3,16,2,1
3,34,1,14,1,2
3,53,3,18,4,1
3,70,4,15,1,1
2,22,1,15,2,1
1,45,3,17,3,2
2,43,2,16,3,1
3,67,4,16,3,1
1,48,3,16,3,1
1,88,4,12,1,1
3,36,2,13,1,1
2,36,2,12,1,2
3,47,3,12,1,2
2,39,2,15,2,1
1,31,1,12,1,2
3,55,3,20,3,1
3,33,1,14,1,1
3,33,1,11,0,2
1,56,3,12,1,2
3,42,2,14,1,2
2,50,3,18,3,2
3,43,2,17,3,1
3,30,1,17,3,1
1,39,2,11,1,1
1,88,4,11,0,1
1,56,3,13,1,2
3,37,2,17,1,1
2,63,3,11,0,2
3,34,1,12,1,1
1,59,3,15,1,1
1,52,3,17,4,1
3,38,2,18,4,2
3,43,2,14,1,2
2,43,2,14,1,2
3,83,4,13,1,2
3,35,2,12,1,2
3,46,3,16,3,1
1,54,3,14,1,1
2,67,4,12,1,1
3,60,3,12,1,1
2,40,2,16,3,1
3,78,4,10,1,1
3,71,4,12,1,2
1,63,3,13,1,1
2,28,1,13,1,2
3,63,3,10,1,2
3,48,3,14,1,1
3,31,1,16,3,2
3,27,1,14,3,2
3,31,1,20,3,2
1,84,4,10,0,1
1,86,4,14,1,1
3,69,4,12,1,2
3,74,4,6,0,2
3,65,4,8,0,2
3,77,4,17,3,2
3,53,3,10,0,2
3,27,1,12,1,2
3,62,3,12,1,2
3,48,3,12,1,2
3,62,3,9,0,2
2,32,1,13,1,1
3,47,3,16,3,2
3,40,2,12,1,2
1,42,2,12,1,1
3,42,2,12,1,1
2,28,1,17,3,2
3,33,1,12,1,2
3,40,2,16,3,2
1,73,4,12,1,1
2,81,4,12,1,2
1,70,4,16,3,1
1,61,3,12,1,2
3,53,3,12,1,2
3,48,3,16,1,2
3,57,3,12,1,2
3,49,3,16,3,1
1,39,2,14,2,2
3,41,2,12,1,1
3,42,2,8,0,1
2,59,3,7,0,2
3,38,2,16,3,2
3,56,3,19,4,1
1,49,3,17,4,2
3,38,2,20,4,2
3,57,3,14,1,2
1,35,2,16,3,2
2,48,3,14,1,1
3,56,3,18,4,2
2,36,2,14,1,2
1,75,4,12,1,2
3,77,4,11,0,2
3,77,4,14,1,2
3,46,3,15,1,2
3,38,2,11,0,2
3,28,1,14,2,1
3,40,2,12,1,1
1,63,3,14,1,2
1,69,4,12,1,2
3,53,3,13,1,2
1,44,2,16,3,2
1,46,3,16,3,1
2,39,2,13,1,1
3,43,2,16,3,2
3,63,3,20,4,1
1,47,3,20,4,1
1,65,4,20,4,1
3,42,2,18,4,1
1,68,4,14,1,1
1,29,1,16,3,1
3,42,2,20,4,2
3,51,3,16,3,2
3,53,3,12,1,2
3,68,4,14,2,2
3,56,3,14,1,2
3,36,2,12,1,2
1,40,2,15,1,2
1,32,1,18,4,1
1,31,1,18,4,2
3,30,1,19,3,2
1,51,3,14,2,1
1,42,2,13,1,2
2,34,1,16,2,1
1,23,1,16,3,1
1,40,2,14,1,1
1,40,2,16,3,2
1,30,1,16,3,1
2,49,3,16,1,2
3,48,3,13,1,2
2,37,2,18,4,1
3,49,3,18,3,2
3,58,3,16,3,2
3,34,1,16,3,2
2,44,2,20,4,2
3,24,1,17,3,1
3,40,2,18,4,1
3,50,3,20,4,2
1,37,2,16,3,2
3,25,1,17,3,1
3,68,4,20,4,1
3,39,2,18,3,2
3,43,2,16,3,2
1,40,2,14,1,2
3,32,1,16,3,2
3,28,1,18,4,1
3,81,4,18,3,2
1,71,4,12,1,2
3,83,4,8,0,2
1,82,4,7,0,2
2,30,1,11,0,2
3,31,1,18,3,1
3,24,1,17,3,1
3,44,2,18,4,2
3,48,3,16,3,1
1,58,3,16,3,1
1,28,1,16,3,2
3,65,4,18,3,1
1,33,1,13,1,2
2,39,2,12,1,1
1,41,2,16,3,1
3,49,3,16,3,2
1,76,4,20,4,1
2,69,4,20,4,1
2,35,2,12,1,2
3,48,3,12,1,2
1,30,1,5,0,2
3,58,3,15,1,2
3,39,2,13,1,1
3,32,1,14,1,1
1,43,2,16,3,1
2,34,1,13,1,2
3,47,3,19,4,2
1,59,3,16,3,1
3,42,2,16,3,2
1,82,4,12,1,2
1,89,4,10,0,2
3,87,4,14,1,2
3,68,4,10,0,2
3,53,3,19,3,2
3,79,4,13,0,1
3,24,1,16,3,2
2,31,1,16,2,2
1,47,3,14,2,2
3,48,3,17,4,1
1,54,3,13,1,2
2,54,3,17,3,1
3,53,3,18,4,2
1,49,3,17,3,1
3,70,4,11,0,2
1,62,3,8,0,1
3,51,3,16,3,2
3,84,4,16,3,2
3,65,4,12,1,2
3,45,3,18,4,2
3,40,2,14,2,2
1,35,2,16,3,2
3,62,3,15,1,2
1,61,3,12,1,1
3,30,1,14,2,2
2,29,1,13,1,1
1,79,4,18,4,1
3,51,3,12,1,1
2,25,1,17,3,2
2,34,1,13,1,1
1,66,4,11,1,2
3,36,2,15,1,2
1,53,3,14,1,1
3,35,2,16,2,2
3,39,2,16,3,2
3,37,2,14,1,1
2,41,2,12,1,1
1,42,2,16,3,2
1,57,3,18,4,1
1,41,2,16,3,1
1,57,3,16,3,2
1,46,3,12,1,2
1,53,3,15,1,1
1,53,3,15,1,1
1,47,3,16,3,2
1,65,4,16,3,1
1,48,3,16,3,1
1,41,2,16,3,2
1,50,3,16,3,1
1,62,3,17,3,1
1,24,1,16,3,1
3,52,3,10,0,2
2,40,2,16,3,1
3,65,4,13,1,2
2,42,2,12,1,1
1,55,3,16,3,1
2,62,3,14,2,1
3,56,3,16,4,2
1,36,2,16,3,1
1,50,3,16,3,1
2,33,1,16,4,1
1,40,2,12,1,1
3,43,2,12,1,1
1,42,2,10,1,1
1,38,2,11,1,1
1,55,3,16,3,1
1,58,3,13,1,2
3,49,3,7,0,2
1,51,3,14,1,1
1,32,1,14,2,2
1,59,3,14,2,1
1,46,3,13,1,2
1,25,1,15,1,2
2,64,3,16,3,1
1,68,4,14,2,2
2,36,2,14,1,1
3,64,3,10,0,1
1,32,1,12,1,2
3,43,2,18,3,2
2,41,2,16,3,1
2,25,1,13,1,2
1,32,1,12,1,2
3,22,1,13,1,1
2,33,1,11,0,1
1,42,2,14,1,2
3,74,4,8,0,2
1,33,1,16,3,1
2,36,2,16,3,1
2,54,3,14,2,1
3,82,4,15,3,2
2,70,4,12,1,1
3,35,2,15,1,2
3,48,3,9,0,1
3,51,3,12,1,2
3,43,2,14,2,2
3,27,1,15,1,2
3,22,1,13,1,2
1,36,2,12,1,1
3,23,1,13,1,1
2,30,1,12,1,1
3,50,3,13,1,2
3,54,3,12,1,2
3,41,2,13,1,2
3,56,3,12,1,2
3,50,3,12,1,2
1,48,3,18,4,2
1,58,3,16,3,1
3,60,3,12,1,2
3,23,1,14,1,2
2,39,2,16,3,2
2,61,3,16,3,1
3,51,3,12,1,2
3,29,1,14,1,1
3,30,1,16,3,1
3,72,4,10,0,1
3,44,2,12,1,2
2,35,2,14,2,2
3,80,4,12,1,2
3,84,4,12,1,2
3,45,3,20,4,2
1,27,1,16,3,2
1,33,1,16,3,2
2,47,3,12,1,1
3,31,1,16,3,1
1,38,2,15,1,1
2,56,3,13,1,1
1,49,3,16,3,2
3,26,1,16,3,1
2,44,2,12,1,1
3,60,3,20,4,1
1,48,3,17,3,2
1,50,3,20,4,1
1,51,3,17,3,1
2,37,2,18,3,1
1,44,2,15,1,2
3,48,3,12,1,1
3,23,1,14,2,2
3,26,1,15,3,2
3,43,2,13,1,2
2,24,1,16,3,2
2,22,1,15,1,1
1,24,1,16,3,2
3,27,1,12,1,1
1,49,3,16,3,1
3,25,1,17,2,2
1,31,1,13,1,1
1,30,1,12,1,1
3,37,2,18,3,1
2,31,1,20,4,2
3,53,3,20,4,2
2,25,1,15,1,1
2,26,1,13,1,1
2,34,1,12,1,1
3,51,3,14,2,2
3,54,3,20,4,1
2,34,1,15,1,1
2,74,4,20,4,1
1,50,3,18,4,1
3,36,2,18,4,2
1,38,2,20,4,1
3,36,2,20,4,1
1,49,3,18,4,2
1,60,3,14,1,1
3,35,2,16,3,1
3,22,1,12,1,2
2,27,1,14,1,2
1,48,3,18,4,1
3,78,4,12,1,1
2,34,1,16,3,1
1,31,1,12,1,1
1,32,1,16,3,2
3,46,3,18,4,1
1,28,1,18,4,1
3,38,2,16,3,2
3,51,3,15,1,1
1,76,4,12,1,1
3,47,3,12,1,1
3,45,3,16,4,2
3,37,2,16,2,1
1,73,4,13,1,2
3,37,2,12,1,2
3,65,4,4,0,2
1,36,2,12,1,1
3,54,3,9,0,2
3,39,2,20,3,2
2,34,1,19,3,2
3,68,4,12,1,1
3,49,3,13,2,2
2,42,2,16,3,2
1,37,2,16,3,2
1,65,4,17,3,2
3,52,3,14,1,2
1,37,2,18,4,2
1,54,3,16,3,1
3,38,2,14,1,2
3,28,1,17,3,1
3,29,1,16,3,2
3,23,1,16,1,2
3,28,1,12,1,1
3,39,2,12,1,1
3,48,3,17,3,2
2,34,1,16,3,2
2,29,1,17,3,2
1,42,2,12,1,1
3,47,3,17,3,2
1,65,4,12,1,1
2,45,3,16,3,2
2,41,2,18,3,2
3,60,3,14,2,1
3,31,1,12,1,2
3,49,3,13,1,2
1,49,3,14,2,1
3,27,1,12,1,2
3,40,2,16,4,2
3,44,2,14,2,2
1,83,4,12,1,2
1,44,2,16,3,2
3,27,1,16,3,1
1,56,3,13,1,2
3,41,2,12,1,1
2,30,1,13,1,1
1,55,3,17,4,1
2,37,2,13,1,2
3,50,3,16,3,1
3,43,2,16,3,2
3,30,1,20,4,2
1,72,4,15,1,2
1,72,4,13,1,2
1,76,4,6,0,1
1,75,4,12,1,2
2,22,1,12,1,1
3,89,4,9,0,2
3,70,4,12,1,1
1,44,2,14,1,2
1,41,2,10,0,1
3,49,3,12,1,2
3,39,2,16,4,1
3,31,1,14,1,2
1,74,4,12,1,2
3,47,3,18,4,1
1,36,2,15,2,1
2,34,1,11,1,2
3,24,1,17,3,2
3,27,1,17,2,1
1,67,4,12,1,1
1,26,1,16,3,2
2,48,3,12,4,2
3,23,1,16,1,2
3,37,2,16,3,2
1,63,3,12,1,1
2,47,3,12,1,2
1,49,3,16,3,1
1,65,4,12,1,1
1,26,1,17,3,2
1,52,3,13,1,2
1,52,3,12,1,1
2,37,2,12,1,2
3,41,2,18,4,1
3,44,2,16,3,2
3,23,1,17,3,2
3,52,3,12,1,1
2,28,1,17,3,1
2,28,1,12,1,1
3,61,3,9,0,1
2,29,1,15,1,1
3,47,3,12,1,2
1,43,2,14,2,1
3,46,3,14,2,2
3,72,4,12,1,2
1,70,4,13,1,2
1,40,2,18,4,2
1,45,3,12,1,1
1,50,3,18,4,2
3,54,3,20,4,2
2,42,2,18,3,1
2,41,2,12,1,1
3,52,3,12,1,2
1,41,2,14,2,2
3,78,4,12,1,2
3,71,4,12,1,2
3,45,3,12,1,2
3,36,2,12,1,2
3,63,3,17,4,1
3,43,2,15,1,2
3,44,2,12,1,2
3,79,4,16,4,1
1,89,4,15,3,2
1,65,4,12,1,1
3,24,1,16,3,1
1,33,1,9,1,2
3,80,4,8,0,1
3,67,4,19,3,2
3,33,1,12,1,2
2,36,2,15,1,1
1,69,4,10,0,2
2,39,2,12,1,2
2,33,1,14,2,2
1,44,2,14,2,2
1,43,2,15,2,1
1,36,2,13,1,1
1,68,4,12,1,1
3,58,3,14,1,1
3,43,2,13,1,1
3,77,4,12,1,2
1,59,3,12,1,1
3,46,3,16,3,1
3,38,2,12,1,2
3,56,3,16,3,2
1,44,2,14,2,1
3,78,4,14,2,2
1,88,4,14,1,2
3,55,3,14,2,2
3,59,3,12,1,2
3,49,3,11,1,1
3,44,2,13,2,2
2,34,1,12,1,1
3,45,3,15,2,2
1,48,3,12,1,2
3,57,3,12,1,2
1,57,3,12,1,2
3,47,3,16,4,2
2,39,2,16,3,2
1,38,2,18,4,2
1,49,3,16,3,1
1,48,3,16,3,2
3,29,1,11,1,2
1,46,3,12,1,2
1,59,3,12,1,2
3,66,4,8,0,1
3,25,1,18,4,2
2,34,1,12,1,2
3,24,1,12,1,1
3,42,2,12,1,1
3,62,3,12,1,2
3,65,4,12,1,2
2,36,2,12,1,2
2,50,3,11,0,1
2,48,3,12,1,1
3,64,3,15,3,2
3,23,1,12,1,1
1,25,1,17,3,2
3,49,3,12,1,1
3,58,3,12,1,2
2,43,2,17,4,1
3,49,3,14,1,2
1,50,3,14,1,1
3,68,4,8,0,1
3,29,1,14,1,2
3,37,2,16,3,2
1,49,3,13,1,2
1,47,3,12,1,2
2,37,2,12,1,1
1,30,1,13,1,1
3,38,2,13,1,2
1,62,3,16,3,1
1,69,4,16,3,2
1,64,3,12,1,2
1,32,1,13,1,2
3,79,4,12,0,2
3,69,4,11,0,2
3,59,3,12,1,1
3,66,4,12,1,2
3,35,2,19,3,1
3,41,2,12,1,1
3,56,3,12,1,2
2,38,2,16,3,2
3,65,4,15,1,2
2,27,1,17,3,2
1,68,4,15,3,2
1,38,2,12,1,2
1,87,4,9,0,2
3,39,2,12,1,1
1,34,1,12,1,1
1,45,3,18,4,2
1,50,3,13,1,2
3,48,3,18,4,2
1,42,2,17,4,2
3,54,3,12,1,1
3,59,3,16,3,2
3,68,4,14,1,1
2,45,3,12,1,2
1,43,2,15,2,2
1,46,3,14,1,2
1,51,3,18,2,1
3,46,3,20,4,1
2,48,3,12,1,1
3,28,1,16,3,2
1,30,1,12,1,1
1,69,4,11,0,2
3,53,3,20,4,1
1,26,1,17,3,1
1,40,2,16,3,1
3,60,3,17,3,2
3,38,2,16,3,2
3,75,4,11,0,1
3,38,2,16,3,2
1,58,3,12,1,1
1,77,4,12,1,1
3,38,2,13,1,2
2,42,2,15,1,1
1,34,1,12,1,2
3,68,4,8,0,1
3,51,3,13,1,1
1,36,2,13,1,2
1,26,1,14,2,1
3,32,1,16,3,2
3,49,3,12,1,2
1,34,1,13,1,2
1,24,1,12,1,2
1,54,3,16,3,1
1,66,4,12,1,2
3,46,3,14,1,1
1,45,3,13,1,1
3,45,3,16,3,1
1,58,3,12,1,2
2,47,3,18,4,1
1,46,3,10,0,1
2,52,3,16,3,1
3,41,2,15,1,1
3,70,4,12,1,1
2,31,1,12,1,2
2,28,1,16,3,2
2,35,2,15,1,2
3,68,4,12,1,1
3,88,4,20,4,1
3,50,3,17,4,2
3,62,3,19,4,1
3,64,3,17,4,2
1,59,3,16,3,1
1,70,4,16,3,2
1,53,3,18,4,2
1,56,3,16,3,2
3,46,3,20,4,2
3,41,2,18,4,1
3,38,2,19,3,1
3,32,1,15,1,2
3,72,4,10,0,1
3,34,1,13,1,2
2,29,1,12,1,1
3,30,1,16,3,2
2,62,3,12,1,2
1,34,1,13,1,1
3,44,2,19,4,1
3,52,3,12,1,1
2,42,2,15,2,2
3,36,2,12,1,2
3,72,4,5,0,1
1,42,2,16,3,2
1,26,1,18,3,1
3,23,1,18,1,2
1,41,2,15,2,2
3,24,1,15,1,2
3,28,1,13,1,1
1,34,1,15,1,2
2,33,1,16,3,1
3,48,3,19,4,2
1,45,3,14,2,1
1,43,2,14,1,1
3,46,3,12,1,1
2,63,3,12,1,1
1,71,4,13,1,1
1,33,1,13,1,1
1,40,2,12,1,1
2,31,1,15,2,2
3,78,4,20,4,1
1,37,2,17,1,1
1,42,2,15,1,2
1,62,3,18,3,2
3,41,2,20,4,2
1,61,3,12,1,1
3,72,4,8,0,2
1,32,1,11,1,2
1,86,4,12,1,2
1,66,4,20,4,2
1,58,3,20,4,1
3,69,4,14,1,2
1,58,3,12,1,1
1,63,3,16,3,1
2,33,1,17,3,1
3,70,4,12,1,2
3,53,3,16,3,1
1,26,1,14,2,1
3,25,1,16,3,2
1,57,3,16,1,1
1,57,3,6,0,1
3,49,3,16,3,2
1,61,3,14,1,1
3,40,2,12,1,2
