country,populatn,density,urban,religion,lifeexpf,lifeexpm,literacy,pop_incr,babymort,gdp_cap,region,calories,aids,birth_rt,death_rt,aids_rt,log_gdp,lg_aidsr,b_to_d,fertilty,log_pop,cropgrow,lit_male,lit_fema,climate
Afghanistan,20500,25,18,Muslim,44,45,29,2.8,168,205,3, ,0,53,22,0,2.31175386105575,0,2.40909090909091,6.9,4.31175386105575,12,44,14,3
Argentina,33900,12,86,Catholic,75,68,95,1.3,25.6,3408,6,3113,3904,20,9,11.5162241887906,3.53249958609466,1.63027932966663,2.22222222222222,2.8,4.53019969820308,9,96,95,8
Armenia,3700,126,68,Orthodox,75,68,98,1.4,27,5000,5, ,2,23,6,.0540540540540541,3.69897000433602,.55791193791225,3.83333333333333,3.19,3.56820172406699,17,100,100, 
Australia,17800,2.3,85,Protstnt,80,74,100,1.38,7.3,16848,1,3216,4727,15,8,26.5561797752809,4.22654835384141,1.92678439361192,1.875,1.9,4.25042000230889,6,100,100,3
Austria,8000,94,58,Catholic,79,73,99,.2,6.7,18396,1,3495,1150,12,11,14.375,4.264723400902,1.70420396214173,1.09090909090909,1.5,3.90308998699194,17, , ,8
Azerbaijan,7400,86,54,Muslim,75,67,98,1.4,35,3000,5, , ,23,7, ,3.47712125471966, ,3.28571428571429,2.8,3.86923171973098,18,100,100,3
Bahrain,600,828,83,Muslim,74,71,77,2.4,25,7875,5, ,13,29,4,2.16666666666667,3.89625056246164,1.16723531932969,7.25,3.96,2.77815125038364,2,55,55,3
Bangladesh,125000,800,16,Muslim,53,53,35,2.4,106,202,3,2021,1,35,11,.000857632933104631,2.30535136944662,.24359046806108,3.18181818181818,4.7,5.09691001300806,67,47,22,5
Barbados,256,605,45,Protstnt,78,73,99,.21,20.3,6950,6, ,418,16,8.4,139.333333333333,3.84198480459011,2.68417610210946,1.9047619047619,1.78,2.40823996531185,77,99,99,5
Belarus,10300,50,65,Orthodox,76,66,99,.32,19,6500,2, ,10,13,11,.0970873786407767,3.81291335664286,.627238279747852,1.18181818181818,1.88,4.01283722470517,29,100,100,8
Belgium,10100,329,96,Catholic,79,73,99,.2,7.2,17912,1, ,1603,12,11,15.8712871287129,4.25314408057097,1.73829079226372,1.09090909090909,1.7,4.00432137378264,24, , ,8
Bolivia,7900,6.9,51,Catholic,64,59,78,2.7,75,730,6,1916,87,34,9,1.10126582278481,2.86332286012046,1.01947934738733,3.77777777777778,4.21,3.89762709129044,3,85,71,4
Bosnia,4600,87,36,Muslim,78,72,86,.7,12.7,3098,2, , ,14,6.39, ,3.49108141342319, ,2.19092331768388, ,3.66275783168157,20, , ,8
Botswana,1359,2.4,25,Tribal,66,60,72,2.7,39.3,2677,4,2375,1415,32,8,101.071428571429,3.42764837118693,2.51724612413987,4,5.1,3.13321945673249,2,32,16,4
Brazil,156600,18,75,Catholic,67,57,81,1.28,66,2354,6,2751,49312,21,9,31.4891443167305,3.37180645850742,1.9935731318414,2.33333333333333,2.7,5.19479175772192,7,82,80,5
Bulgaria,8900,79,68,Orthodox,75,69,93,-.2,12,3831,2, ,24,13,12,.269662921348315,3.58331215198308,.769421374834501,1.08333333333333,1.8,3.94939000664491,34, , ,8
Burkina Faso,10000,36,15,Animist,50,47,18,2.81,118,357,4,2288,4193,47,18,41.93,2.55266821611219,2.11108136662287,2.61111111111111,6.94,4,10,28,9,5
Burundi,6000,216,5,Catholic,50,46,50,2.26,105,208,4,1932,7225,44,21,120.416666666667,2.31806333496276,2.60697772380246,2.0952380952381,6.8,3.77815125038364,43,61,40,8
Cambodia,10000,55,12,Buddhist,52,50,35,2.9,112,260,3,2166,0,45,16,0,2.41497334797082,0,2.8125,5.81,4,16,48,22,5
Cameroon,13100,27,40,Animist,58,55,54,2.9,77,993,4,2217,3072,41,12,23.4503816793893,2.99694924849538,1.87944656693388,3.41666666666667,5.7,4.11727129565576,13,66,45,4
Canada,29100,2.8,77,Catholic,81,74,97,.7,6.8,19904,1,3482,9511,14,8,32.6838487972509,4.29894036301072,2.00847596290788,1.75,1.8,4.46389298898591,5, , ,9
Cent. Afri.R,3300,5,47,Protstnt,44,41,27,2.4,137,457,4,2036,3730,44,21,113.030303030303,2.65991620006985,2.57418039497038,2.1,5.42,3.51851393987789,3,33,15,5
Chile,14000,18,85,Catholic,78,71,93,1.7,14.6,2591,6,2581,831,23,6,5.93571428571429,3.41346741298582,1.42788949211559,3.83333333333333,2.5,4.14612803567824,7,94,93,8
China,1205200,124,26,Taoist,69,67,78,1.1,52,377,3,2639,38,21,7,.00315300365084633,2.57634135020579,.316042067863704,3,1.84,6.08105912300132,10,87,68,8
Colombia,35600,31,70,Catholic,75,69,87,2,28,1538,6,2598,4583,24,6,12.873595505618,3.18695633546541,1.66701678171139,4,2.47,4.55144999797287,4,88,86,5
Costa Rica,3300,64,47,Catholic,79,76,93,2.3,11,2031,6,2808,587,26,4,17.7878787878788,3.30770992340481,1.77838109215967,6.5,3.1,3.51851393987789,6,93,93,5
Croatia,4900,85,51,Catholic,77,70,97,-.1,8.7,5487,2, ,56,11,11,1.14285714285714,3.73933496019608,1.02706608708935,1,1.65,3.69019608002851,32, , ,6
Cuba,11100,99,74,Catholic,78,74,94,.95,10.2,1382,6, ,245,17,7,2.20720720720721,3.14050804303818,1.17157102185757,2.42857142857143,1.9,4.04532297878666,23,95,93,5
Czech Rep.,10400,132, ,Catholic,77,69, ,.21,9.3,7311,2,3632,48,13,11.1,.461538461538462,3.86397678390439,.85672527504931,1.17117117117117,1.84,4.01703333929878, , , ,8
Denmark,5200,120,85,Protstnt,79,73,99,.1,6.6,18277,1,3628,1411,12,12,27.1346153846154,4.2619049118372,1.93510588643089,1,1.7,3.7160033436348,61, , ,8
Domincan R.,7800,159,60,Catholic,70,66,83,1.8,51.5,1034,6,2359,2353,25,6,30.1666666666667,3.01452053875792,1.97653934984426,4.16666666666667,2.8,3.89209460269048,23,85,82,5
Ecuador,10700,39,56,Catholic,73,67,88,2.01,39,1085,6,2531,381,26,6,3.3716814159292,3.03542973818455,1.27517358097217,4.33333333333333,3.08,4.02938377768521,6,90,86,5
Egypt,60000,57,44,Muslim,63,60,48,1.95,76.4,748,5,3336,91,29,9,.151666666666667,2.87390159786446,.68576928316651,3.22222222222222,3.77,4.77815125038364,3,63,34,1
El Salvador,5800,246,44,Catholic,69,64,73,2.04,41,1078,6,2317,530,33,7,9.63636363636364,3.03261876085072,1.5731952846346,4.71428571428571,3.78,3.76342799356294,27,76,70,5
Estonia,1600,36,72,Protstnt,76,67,99,.52,19,6000,2, ,3,14,12,.1875,3.77815125038364,.715484540552628,1.16666666666667,2,3.20411998265592,22,100,100,7
Ethiopia,55200,47,12,Muslim,54,51,24,3.1,110,122,4,1667,12958,45,14,23.4746376811594,2.08635983067475,1.87983520887564,3.21428571428571,6.81,4.7419390777292,12,32,16,5
Finland,5100,39,60,Protstnt,80,72,100,.3,5.3,15877,1,3253,158,13,10,3.09803921568627,4.20076844478317,1.25376858041995,1.3,1.8,3.70757017609794,8, , ,9
France,58000,105,73,Catholic,82,74,99,.47,6.7,18944,1,3465,30003,13,9.3,51.7293103448276,4.27747168504283,2.20164522499184,1.39784946236559,1.8,4.76342799356294,32, , ,8
Gabon,1300,4.2,46,Catholic,58,52,61,1.46,94,4283,4,2383,472,28,14,36.3076923076923,3.63174807439657,2.05116090015333,2,3.97,3.11394335230684,1,74,48,5
Gambia,959,86,23,Muslim,52,48,27,3.1,124,351,4, ,277,46,16,25.1818181818182,2.54530711646582,1.90641486974045,2.875,6.29,2.98181860717066,16,39,16,5
Georgia,5500,81,56,Orthodox,76,69,99,.8,23,4500,2, ,2,16,9,.0363636363636364,3.65321251377534,.515387001687966,1.77777777777778,2.18,3.74036268949424, ,100,100,6
Germany,81200,227,85,Protstnt,79,73,99,.36,6.5,17539,1,3443,11179,11,11,13.7672413793103,4.24400482809145,1.68954352926031,1,1.47,4.90955602924118,34, , ,8
Greece,10400,80,63,Orthodox,80,75,93,.84,8.2,8060,1,3825,916,10,10,8.80769230769231,3.90633504180509,1.54515633526841,1,1.5,4.01703333929878,23,98,89,8
Guatemala,10300,97,39,Catholic,67,62,55,2.58,57,1342,6,2235,499,35,8,4.84466019417476,3.12775251583297,1.37104801452783,4.375,4.76,4.01283722470517,12,63,47,5
Haiti,6500,231,29,Catholic,47,43,53,1.63,109,383,6,2013,4987,40,19,71.2428571428571,2.58319877396862,2.34719010491285,2.10526315789474,5.94,3.81291335664286,20,59,47,5
Honduras,5600,46,44,Catholic,70,65,73,2.73,45,1030,6,2247,3473,35,6,62.0178571428571,3.01283722470517,2.28298654142164,5.83333333333333,4.9,3.7481880270062,14,76,71,4
Hong Kong,5800,5494,94,Buddhist,80,75,77,-.09,5.8,14641,3, ,99,13,6,1.70689655172414,4.1655707406329,1.11286232554541,2.16666666666667,1.4,3.76342799356294,7,90,64,5
Hungary,10500,111,64,Catholic,76,67,99,-.3,12.5,5249,2,3644,149,12,13,1.41904761904762,3.72007657276814,1.07250516875198,.923076923076923,1.8,4.02118929906994,51,99,98,8
Iceland,263,2.5,91,Protstnt,81,76,100,1.1,4,17241,1, ,31,16,7,10.3333333333333,4.23656245185336,1.5953210211491,2.28571428571429,2.11,2.41995574848976,1, , ,8
India,911600,283,26,Hindu,59,58,52,1.9,79,275,3,2229,713,29,10,.0782141290039491,2.43933269383026,.600699184932207,2.9,4.48,5.95980431650834,55,64,39,6
Indonesia,199700,102,29,Muslim,65,61,77,1.6,68,681,3,2750,49,24,9,.0245368052078117,2.83314711191279,.476391060171075,2.66666666666667,2.8,5.3003780648707,8,84,68,5
Iran,65600,39,57,Muslim,67,65,54,3.46,60,1500,5,3181,92,42,8,.145569620253165,3.17609125905568,.680164795792483,5.25,6.33,4.81690383937566,8,64,43,2
Iraq,19900,44,72,Muslim,68,65,60,3.7,67,1955,5,2887,26,44,7,.130653266331658,3.29114676173189,.665616461912315,6.28571428571429,6.71,4.29885307640971,12,70,49,1
Ireland,3600,51,57,Catholic,78,73,98,.3,7.4,12170,1,3778,392,14,9,10.8888888888889,4.08529057823007,1.61211757741386,1.55555555555556,1.99,3.55630250076729,14, , ,8
Israel,5400,238,92,Jewish,80,76,92,2.22,8.6,13066,5, ,279,21,7,5.16666666666667,4.11614265385379,1.3888076135995,3,2.83,3.73239375982297,17,95,89,8
Italy,58100,188,69,Catholic,81,74,97,.21,7.6,17500,1,3504,21770,11,10,38.0594405594406,4.24303804868629,2.07058221821884,1.1,1.3,4.76417613239033,32,98,96,6
Japan,125500,330,77,Buddhist,82,76,99,.3,4.4,19860,3,2956,713,11,7,.568127490039841,4.29797924415936,.893077526369717,1.57142857142857,1.55,5.09864372581706,13, , ,6
Jordan,3961,42,68,Muslim,74,70,80,3.3,34,1157,5,2634,31,39,5,.704545454545455,3.06333335895175,.932356071879604,7.8,5.64,3.59780484240429,4,89,70,2
Kenya,28200,49,24,Catholic,55,51,69,3.07,74,323,4,2163,30126,42,11,111.577777777778,2.5092025223311,2.56753008725122,3.81818181818182,5.91,4.45024910831936,3,80,58,4
Kuwait,1800,97,96,Muslim,78,73,73,5.24,12.5,6818,5,3195,10,28,2,.555555555555556,3.83365699689287,.8890895361322,14,4,3.25527250510331,0,77,67,2
Latvia,2700,40,71,Protstnt,75,64,99,.5,21.5,7400,2, ,8,14,12,.296296296296296,3.86923171973098,.784052681683116,1.16666666666667,2,3.43136376415899,27,100,100,7
Lebanon,3620,343,84,Muslim,71,67,80,2,39.5,1429,5, ,72,27,7,2.48275862068966,3.15503222879097,1.19946312134964,3.85714285714286,3.39,3.55870857053317,21,88,73,6
Liberia,2900,29,45,Animist,57,54,40,3.3,113,409,4,2382,191,43,12,6.58620689655172,2.61172330800734,1.45789777740893,3.58333333333333,6.8,3.46239799789896,1,50,29,5
Libya,5500,2.8,82,Muslim,65,62,64,3.7,63,5910,5,3324,10,45,8,.181818181818182,3.77158748088126,.711094733360448,5.625,6.4,3.74036268949424,2,75,50,6
Lithuania,3800,58,69,Catholic,77,68,99,.3,17,6710,2, ,5,15,10,.131578947368421,3.82672252016899,.666556981457262,1.5,2,3.57978359661681,49,99,98,7
Malaysia,19500,58,43,Muslim,72,66,78,2.3,25.6,2995,3,2774,107,29,5,.548717948717949,3.47639682672533,.886890153495176,5.8,3.51,4.29003461136252,3,86,70,5
Mexico,91800,46,73,Catholic,77,69,87,1.9,35,3604,6,3052,18353,28,5,19.9923747276688,3.55678478230703,1.82042535887153,5.6,3.2,4.96284268120124,12,90,85,3
Morocco,28600,63,46,Muslim,70,66,50,2.12,50,1062,4, ,196,29,6,.685314685314685,3.02612451674545,.927209788167094,4.83333333333333,3.83,4.45636603312904,18,61,38,6
N. Korea,23100,189,60,Buddhist,73,67,99,1.83,27.7,1000,3, ,0,24,5.5,0,3,0,4.36363636363636,2.4,4.36361197989214,18,99,99,8
Netherlands,15400,366,89,Catholic,81,75,99,.58,6.3,17245,1,3151,3055,13,9,19.8376623376623,4.23666319870341,1.81759909900449,1.44444444444444,1.58,4.18752072083646,26, , ,8
New Zealand,3524,13,84,Protstnt,80,73,99,.57,8.9,14381,1,3362,431,16,8,12.2304199772985,4.15778908628205,1.6500164504082,2,2.03,3.54703589974001,2, , ,8
Nicaragua,4100,33,60,Catholic,67,61,57,2.68,52.5,447,6,2265,66,35,7,1.53488372093023,2.65030752313194,1.08946954875243,5,4.33,3.61278385671974,9,57,57,5
Nigeria,98100,102,35,Muslim,57,54,51,3.1,75,282,4,2312,1148,44,12,.962279966471081,2.45024910831936,.992339523121898,3.66666666666667,6.4,4.99166900737995,31,62,40,5
Norway,4300,11,75,Protstnt,81,74,99,.4,6.3,17755,1,3326,375,13,10,8.72093023255814,4.24932067663763,1.54210008970997,1.3,2,3.63346845557959,3, , ,8
Oman,1900,7.8,11,Muslim,70,66, ,3.46,36.7,7467,5, ,33,40,5,1.73684210526316,3.87314615132826,1.11673998861555,8,6.53,3.27875360095283,2, , ,1
Pakistan,128100,143,32,Muslim,58,57,35,2.8,101,406,3, ,41,42,10,.0320062451209992,2.60852603357719,.50239689356473,4.2,6.43,5.10754912974469,26,47,21,8
Panama,2600,34,53,Catholic,78,71,88,1.94,16.5,2397,6,2539,644,25,5,24.7692307692308,3.37966803403365,1.90012645195167,5,2.9,3.41497334797082,6,88,88,5
Paraguay,5200,11,48,Catholic,75,72,90,2.7,25.2,1500,6,2757,77,33,4.5,1.60416666666667,3.17609125905568,1.09913211517808,7.33333333333333,4.3,3.7160033436348,20,92,88,6
Peru,23650,18,70,Catholic,67,63,85,2,54,1107,6,2186,1068,26,7,4.66375545851528,3.04414762087872,1.36065228105851,3.71428571428571,3.11,4.37383114507383,3,92,79,3
Philippines,69800,221,43,Catholic,68,63,90,1.92,51,867,3,2375,136,27,7,.197962154294032,2.93801909747621,.723296617733888,3.85714285714286,3.35,4.84385542262316,26,90,90,5
Poland,38600,123,62,Catholic,77,69,99,.3,13.8,4429,2, ,201,14,10,.520725388601036,3.64630568028476,.877650794974529,1.4,1.94,4.58658730467176,46,99,98,8
Portugal,10500,108,34,Catholic,78,71,85,.36,9.2,9000,1, ,1811,12,10,18.2929292929293,3.95424250943932,1.78836701536232,1.2,1.5,4.02118929906994,32,89,82,7
Romania,23400,96,54,Orthodox,75,69,96,.06,20.3,2702,2,3155,2736,14,10,11.6923076923077,3.43168534468601,1.635234522134,1.4,1.82,4.36921585741014,43, , ,8
Russia,149200,8.8,74,Orthodox,74,64,99,.2,27,6680,2, ,136,13,11,.0911528150134048,3.82477646247555,.619375492336647,1.18181818181818,1.83,5.17376882313665,8,100,100,9
Rwanda,8400,311,6,Catholic,46,43,50,2.8,117,292,4,1971,10706,49,21,137.25641025641,2.46538285144842,2.67612581399171,2.33333333333333,8.19,3.92427928606188,29,64,37,8
S. Korea,45000,447,72,Protstnt,74,68,96,1,21.7,6627,3, ,19,16,6,.0426966292134831,3.8213169705911,.532204715226985,2.66666666666667,1.65,4.65321251377534,21,99,99,8
Saudi Arabia,18000,7.7,77,Muslim,70,66,62,3.2,52,6651,5,2874,61,38,6,.338888888888889,3.82288694783415,.805399704596573,6.33333333333333,6.67,4.25527250510331,1,73,48,1
Senegal,8700,43,40,Muslim,58,55,38,3.1,76,744,4,2369,911,43,12,11.109756097561,2.87157293554588,1.61860510170523,3.58333333333333,6.1,3.93951925261862,27,52,25,5
Singapore,2900,4456,100,Taoist,79,73,88,1.2,5.7,14990,3,3198,75,16,6,2.58620689655172,4.17580163284828,1.20929610231251,2.66666666666667,1.88,3.46239799789896,4,93,84,5
Somalia,6667,10,24,Muslim,55,54,24,3.2,126,2126,4,1906,13,46,13,.13265306122449,3.32756326018728,.667641701569577,3.53846153846154,7.25,3.82393045512556,2,36,14,1
South Africa,43900,35,49, ,68,62,76,2.6,47.1,3128,4, ,3210,34,8,7.79126213592233,3.49526674438781,1.50772301152552,4.25,4.37,4.64246452024212,10, , ,2
Spain,39200,77,78,Catholic,81,74,95,.25,6.9,13047,1,3572,24202,11,9,61.7397959183673,4.115510662385,2.28093567536408,1.22222222222222,1.4,4.59328606702046,31,97,93,8
Sweden,8800,19,84,Protstnt,81,75,99,.52,5.7,16900,1,2960,1001,14,11,11.375,4.22788670461367,1.62626112704031,1.27272727272727,2.1,3.94448267215017,7, , ,9
Switzerland,7000,170,62,Catholic,82,75,99,.7,6.2,22384,1,3562,3662,12,9,52.3142857142857,4.34993769714775,2.20660226682579,1.33333333333333,1.6,3.84509804001426,10, , ,8
Syria,14900,74,50,Muslim,68,65,64,3.7,43,2436,5, ,26,44,6,.185714285714286,3.38667728396084,.71411649126556,7.33333333333333,6.65,4.17318626841227,28,78,51,1
Taiwan,20944,582,71,Buddhist,78,72,91,.92,5.1,7055,3, , ,15.6, , ,3.84849701809037, , , ,4.32105962920668, , , , 
Tanzania,29800,29,21,Animist,45,41,46,2.5,110,263,4,2206,38719,46,19,129.929530201342,2.41995574848976,2.64692462080285,2.42105263157895,6.2,4.47421626407626,5,62,31,6
Thailand,59400,115,22,Buddhist,72,65,93,1.4,37,1800,3,2316,5654,19,6,9.51851851851852,3.25527250510331,1.5693285359644,3.16666666666667,2.1,4.77378644498119,34,96,90,5
Turkey,62200,79,61,Muslim,73,69,81,2.02,49,3721,5,3236,130,26,6,.210355987055016,3.57065967002153,.732134673757292,4.33333333333333,3.21,4.79379038469082,30,90,71,8
U.Arab Em.,2800,32,81,Muslim,74,70,68,4.8,22,14193,5, ,8,28,3,.470588235294118,4.15207420276823,.860058937182442,9.33333333333333,4.5,3.44715803134222,0,70,63,1
UK,58400,237,89,Protstnt,80,74,99,.2,7.2,15974,1,3149,9025,13,11,15.4537671232877,4.20341368009645,1.72904729462947,1.18181818181818,1.83,4.7664128471124,29, , ,8
USA,260800,26,75,Protstnt,79,73,97,.99,8.11,23474,1,3671,411907,15,9,157.939800613497,4.37058710024668,2.7523161411094,1.66666666666667,2.06,5.41630758705988,20,97,97,8
Uganda,19800,76,11,Catholic,43,41,48,2.42,112,325,4,2153,43875,49,24,221.590909090909,2.51188336097887,2.94517013435761,2.04166666666667,6.77,4.29666519026153,23,62,35,5
Ukraine,51800,87,67,Orthodox,75,65,97,.05,20.7,2340,2, ,27,12,13,.0517241379310345,3.36921585741014,.553017216863535,.923076923076923,1.82,4.71432975974523,56,100,100,8
Uruguay,3200,18,89,Catholic,77,71,96,.8,17,3131,6,2653,469,17,10,14.65625,3.49568306761692,1.71082100149688,1.7,2.44,3.50514997831991,8,97,96,8
Uzbekistan,22600,50,41,Muslim,72,65,97,2.13,53,1350,5, ,2,30,7,.00904977375565611,3.13033376849501,.390236191402219,4.28571428571429,3.73,4.3541084391474,10,100,100,2
Venezuela,20600,22,91,Catholic,76,70,88,2.16,28,2829,6,2582,3511,26,5,16.4835680751174,3.45163294745699,1.7515004176214,5.2,3.05,4.31386722036915,3,90,87,5
Vietnam,73100,218,20,Buddhist,68,63,88,1.78,46,230,3,2233,107,27,8,.146374829001368,2.36172783601759,.680915593766087,3.375,3.33,4.86391737695786,22,93,83,5
Zambia,9100,11,42,Protstnt,45,44,73,2.8,85,573,4,2077,29734,46,18,326.747252747253,2.75815462196739,3.18304214520855,2.55555555555556,6.68,3.95904139232109,7,81,65,5
